rank,fitness_,ctk_string
1,3.6264682762533256,C[f(H6H2B[t(B2[l(B2[t(BH4BB6[r(B6)]H6)])])]HH4)]
2,3.581441706637236,C[l(B[b(B2B6B[t(B2[r(B6H6BB6[l(B4)]H4H)])])])f(H4)]
3,3.5780096934165044,C[r(B2)l(B6B[b(B4[b(B6)])]H4H2H6)f(H6H2H6H4H)]
4,3.5753773995910096,C[r(B6H4)l(BBHB[l(B6[r(B4)])b(B[b(B2)])])f(H4H2)]
5,3.5746732238525842,C[r(B)f(B[r(B2[l(B6H4H6HH4H)])l(B2[l(B6[l(B6)])]H2H6)])]
6,3.571102442559534,C[r(B4)f(B4[r(B6[l(B[l(B[l(B[t(B4HBB6)]H4)])]B6)])])]
7,3.56888325665439,C[f(BH4BB6[l(B6[b(B6H4B[b(B4)]H)]H2)]H6H2H6)]
8,3.5614606481862343,C[f(B4[l(B6[b(B2B6[t(B)]H4HHB2)]BH2)])]
9,3.5598793366499697,C[r(B6H4H6B6HH)f(H4BHB[l(B4H4)])]
10,3.557774736362216,C[l(B6[l(B6H4B2)]H)f(H6B4[l(B6H2HHH2H2)])]
11,3.5517216836972088,C[f(B2[r(B6H4BH6B4[b(B)]H2)]H6H2)]
12,3.5508222780735137,C[r(B4H4HBB6[r(B6[b(B2[l(B6)])]H4)]H4H2)f(H6)]
13,3.548016891614831,C[l(B[t(B6H4B6[b(B2)]HH2)]B[b(B2)])f(H6BH4H6H4H2)]
14,3.54719890543166,C[r(B)f(BH4B[t(B[l(B2[t(B2[l(B6B2)]B6)])]H4H6H2)])]
15,3.5429002048261995,C[r(B6[r(B6[l(B)b(B2[l(B4[b(B6)]H6B4H2)]H4BB4)]B6H4)])f(H6)]
16,3.5405429254036362,C[f(H6B[l(BB2[r(B2[l(B6H4B6HH4)])])]H6B)]
17,3.536677465748994,C[r(BB6[r(B6[l(B2[r(B2B6)])]B2H4HH4H4H6H4)]B)f(H6)]
18,3.536512556043043,C[f(B4[r(B2[l(B2[l(B6[l(B)]B[t(BH4)]H4B)])])l(B4[r(B6)])])]
19,3.5302327795101887,C[f(B2[r(B2H4B[l(B2)]H4H2)t(B2[r(B6B2)])])r(B6H)]
20,3.5285989866440244,C[l(B6[b(B6[b(B[r(B2B6)])]B[l(B2H4)t(B6)])]H4HB)f(H4)]
21,3.526940172196859,C[r(B4B[r(B)t(B6[l(B2)t(B[b(B6B6)])]H4H)]B6)f(H4)]
22,3.5249534947652292,C[l(B6[b(B6H)]B2)f(H2H4H4H6H)]
23,3.524892276078464,C[r(BH2)f(H6H2B6[b(B2[l(B)t(B4)]H4B[l(B6)])]BH6)]
24,3.5234915490550436,C[l(B2[r(B2[b(B2[r(B6[t(B2[l(B6)])]H4)]H4)])]B6HB)f(H4)]
25,3.5229978353537534,C[l(B6B2[b(B2)l(B6[t(B2B4)]H4H6BH4)]H6)f(H6)]
26,3.5228484834643234,C[l(B6B[r(B6[b(B2[b(B2[r(B)])t(BH4B[r(B4H4)]H4)])]B)])f(H4)]
27,3.5221510191663894,C[r(B)f(B2[r(B2)b(B4[l(B2B6B[r(B[l(B2)])]B6H6)])]H6H4H)]
28,3.5192507197791354,C[l(B2[l(B6[b(B6[b(B[l(B)]BH6B)]H2)]B)]HH2)f(H6H4)]
29,3.518303605839059,C[r(B4B6[b(B2[b(B2)])t(BB6)]B4HB)f(H6H4H6H)]
30,3.518120519316378,C[l(B[l(B2[t(B2)l(B2H2)r(B6B)]H4H4)])f(H6BH6H6)]
31,3.5181033367635655,C[r(BB[t(B6HB[b(B6[b(B2[r(B6H4H)]HH2)]H2)])])f(H4)]
32,3.5171830593585014,C[f(B2[r(B6[t(B6[r(B6BH4B2)])])]HH2)l(B[r(B)]H4)]
33,3.5161288310495444,C[l(B[l(B[l(B2)r(B6B[r(B)]H4B)]H4H6H2)])f(H4)]
34,3.515297455394433,C[f(H4H6B[l(B6[t(B[t(B6H4)r(B[t(BB2[r(B2H)])])])]B6)]H2)]
35,3.5147168474414148,C[r(B6[r(B4[r(B6HB)]HHB4)])f(H4H2H)]
36,3.5141403295143454,C[f(BH4BB6[l(B6[b(B6[t(B2[r(B4H6)])]H4H6)]B2[l(B2[b(B2)])])])]
37,3.513868471195275,C[f(B6[l(B6[b(B2[b(B2[r(B6[l(BH4B2)]BH)]H6)])])])r(BHH6)]
38,3.5128735378773213,C[r(B6H6)f(H6B[l(B2[l(B4[l(B6[b(B2)l(BH4)]B2)])])])]
39,3.512709013438184,C[r(B6H4)f(H6B[t(B[l(B6[b(B2)]B6H)]H)]H6HH2)]
40,3.512352880738735,C[f(B2[t(B6B2[b(B6[b(B6H2H4B4H4)l(BH4)])])])l(B6H2)]
41,3.512037715453352,C[f(H6B[l(B6[b(B2[b(B2[r(B6[l(BB)])])]H4BH6)]H4)]H6H4)]
42,3.5116213017180304,C[l(B6H4HB[b(B6)l(B6[l(B2[r(B4[l(B6)])])]H4H6)]H2)f(H4)]
43,3.510217865330013,C[r(B6[l(B6BH4H4B4B6[t(B)])]H2H4B2H6)f(H6H4)]
44,3.50918405861956,C[f(H6H6B2B[l(B2[b(B2[r(B2H4)])]B6[r(B[l(B6B6)])]H)])]
45,3.507780098637593,C[f(H4B4H4H2H4B6[b(B2[b(B2[r(B6)t(B6[b(B[r(B4)])])])])])]
46,3.5070345690998677,C[l(B6[l(B[l(BH4BB6H4)]H2H4H2H6)]B)f(H6)]
47,3.5052069969986035,C[f(B2[r(B2[l(B6[l(B[l(BH4)])r(B[r(B4[l(B[t(B6)])])])]H4H6)])])l(B6B2)]
48,3.503069305351073,C[f(B[l(B6[b(B2B4[l(B2[l(B2[l(B[b(B6)])])])]H4HH2)])])]
49,3.502143720353922,C[r(B[t(B)l(B2[r(B2HH6)]BB4B6H6)]H4)f(H4)]
50,3.501986483262078,C[l(B6[r(BH4B[b(B6[b(B2[b(B2)])l(BH4)]B4)])]B6[b(B)]H2)f(H4)]
51,3.5012659240619266,C[r(B6[t(B6H4HBH6H4H)]B4B[r(B2)b(B6)])f(H6H2)]
52,3.5009199910792868,C[f(B2[r(B2)t(B4H6H6)l(BB2H4H6B[l(B)]H6H)])]
53,3.499980559220262,C[r(B6[t(B[b(B6[b(B4)])r(BH)]H2)]H4H2)f(H6H4)]
54,3.4978424832768082,C[f(H6H4H6HBB6[l(B6[b(B2[l(B2)])]B6[t(B[l(B6[l(B2)])])]H2)])]
55,3.497373547352027,C[l(B6[b(B2[l(B2[l(B2[l(B4)])]H4H)]H4B2)t(B6[r(B)])])f(H4)]
56,3.496469479616956,C[f(B2[r(B2[r(B)l(B[t(B4[l(B6)])]H4H)]HB)])r(B6[r(B2)])]
57,3.4956729053250015,C[r(B4)f(H4H4BB6[l(B6[b(B2[b(B2)t(B[l(B)]H6)])]B2)]H6)]
58,3.494883793879324,C[r(B6[t(B6H)]B[r(B2[b(B2[r(B2[l(B2BBH)])])])])f(H4H4)]
59,3.4943141364385397,C[l(B[t(B[t(B6[r(B4[l(B2B6HH2)])t(BH2)]H4H6H6H4)])])f(H4)]
60,3.4938614290103875,C[r(BB2[r(B2[t(BB6)]H6B2[r(B6B6[l(B6H4)])])])f(H4)]
61,3.4936934059982976,C[r(B4)f(H4B2HB[t(B2)b(B6[b(B[b(B2)])]H2H4)r(B[t(B4)]B)])]
62,3.4935727043520775,C[f(B2HH2)r(B6[b(B[r(B6B2)l(B6H)]H6H4)])]
63,3.4933875783192105,C[f(B2[r(B2[r(B4[r(B[b(B6[r(B6H)]H4B4[t(B6H)])])]B4)])])]
64,3.492869915799029,C[f(B4[t(B4[l(B2H4B[r(B6[b(BH)]B6)])]H4H2)])]
65,3.49267175995041,C[l(B[b(B)r(B6[t(B[t(B6[r(BH4HB[r(B2)])])]H4H2)]H2)])f(H4)]
66,3.492461482634736,C[l(B[l(B2[r(B[r(B6)])]H4)]H2H4B)f(H6H4B[l(B4)])]
67,3.4917035500041473,C[l(B4B6[l(B)]BH4B[l(B6H2)])f(H6H4H6H2H4)]
68,3.4910462045845794,C[l(B6[l(B[l(B2[r(B2)])t(B[r(B6)])])]H4)f(BH2H6)]
69,3.4903594906053046,C[l(B4[l(B6[b(B2BH)]B2)t(B[r(BH4B2)]HH4)])f(H6)]
70,3.490199414236436,C[r(B[t(B2B6[b(B2[t(B4)l(B6H4)]H4B)]HH4)])f(H2)]
71,3.489761357464893,C[r(B6H4H4B2)l(B6[l(B2)]B[r(BH4)]BH6H2)f(H4)]
72,3.489363181160421,C[f(B2[t(B2[l(B)])r(B6H2)]B2H4H4HB[b(B6[l(B2)])])]
73,3.488380752427152,C[l(B6[r(B2[r(B2[r(B2)])])b(B[b(B)]H)]B)f(H6H6H4H4)]
74,3.4879012830627287,C[f(B6[l(B6[b(B[t(BB[r(B6H2H6H2)]H4)]H4H4)]B2H4)]B)]
75,3.4871621557898242,C[f(H6H2BB6B6B[t(B[l(B6)]B6[r(B)]H4HH2)]H6H6)]
76,3.485958290453448,C[f(B6[l(B6[b(B2[b(B2[r(B4B6[l(B)]H4)])])t(B4)]HBH)])]
77,3.4854938041502566,C[r(B6[l(B6[r(B2[r(B2[t(B)l(B6H4)]H6B2)]B)])]H6)f(H4)]
78,3.485470417755721,C[l(B6B2[l(B6[r(B2[t(B6[r(B6)])r(B6[t(B)]H4H6)])]B)])f(H2)]
79,3.4842306621878536,C[r(B)l(B6B[r(B2[b(B2)]HH2H4H6)])f(H4)]
80,3.4819658207305464,C[f(H2B6[t(B2B)b(B[b(BH4)])]B6H4H6B[b(B4)]H4H2)]
81,3.4806641854640143,C[r(B2[r(B6[l(B)])]H)f(H6B[r(B2)]H4HH4)]
82,3.4796818541498427,C[l(B6[r(B2)b(B4B)])f(H4H4B[r(B4[b(B6)]H4HH2H)]B)]
83,3.4795026032665026,C[f(H6B4[l(B2[l(B[r(B6H4B[t(B6[l(B2[r(B2[r(B)])])])])])])t(B6)]H)]
84,3.478916553939219,C[f(B2[r(B2[r(B2[l(B4[t(B6[b(B6)])])]H)])l(B6H4B2)]H6)]
85,3.4786080053363673,C[r(B6[l(B6[b(B2[tb(B4)]B[b(B2B4[t(B)]HH)]H2)]B)])f(H6)]
86,3.4773063596839604,C[r(B4)l(B6[b(B2[t(B)])t(B[b(B[b(B6H4)])])]H)f(H2H4)]
87,3.4772565733957315,C[r(B[t(B2[b(B6)])l(B2[r(B2H4)])]HH6)f(H6BH)]
88,3.47703450419773,C[r(B6[r(B)l(B2[r(B2)b(B4[t(B6[l(B6B6)]B)])])]H)f(H6BH4)]
89,3.47703287666479,C[l(B6[b(B2[l(B6[r(BH)]H4H4)])]BB6B)f(H6H2)]
90,3.47520443767735,C[l(B2[l(B2[b(B2[t(B6)r(BH4)l(B[r(B6H)])])])])r(B4[r(B)])f(H6)]
91,3.474489844379198,C[r(B4[b(B4[r(B6[t(BH4B[l(B6)b(B6B)]B6)])])])f(H4)]
92,3.4742815091091277,C[f(B2[t(B6B6B[l(B[t(B4H)]B6H4H2)]H4H4)])]
93,3.474221996340614,C[l(B6BH6H4H2H4)r(B6[l(B2)]HB[r(B)l(B6)])f(H4)]
94,3.4738405499082705,C[f(B4[l(B6[t(B6)b(B6[l(B2[r(B2[r(B2)t(BB6)])])r(B[l(B)])]H4)])])]
95,3.473593165394059,C[r(B2)l(B2[l(B2[b(B2[l(B4BH4H)t(B6B[r(B6B)])])])])f(H4)]
96,3.4725057635842544,C[f(H4B4B[t(B6B2[t(BH4BH4)])]HH)]
97,3.4724387372025793,C[f(H6B6[l(B2[b(B2[r(B6[t(B)]H4H4B4B6H)])])]H4)]
98,3.4723329232671274,C[r(B[t(B2[l(B4H2)]B6H2B)]H4BH6H4)f(H6)]
99,3.472262891914252,C[f(B4[t(B[l(B6[l(B)r(B2)b(B6H2)]H)])]H4BH6H4H4)]
100,3.471892197962242,C[f(B6[l(B6[b(BH4H6BH4H6)]B2H2)]B[r(BH)]H2)]
101,3.4715328852763894,C[l(B6[l(B6H4)]BB6[l(B2[r(B2[r(B2[l(B[b(B[r(B6)])])])])])])f(H6)]
102,3.4713134191833976,C[l(B2[r(B2[l(B2)r(B6B2)]H6)]H6H4H)f(H6H2)]
103,3.47123603053966,C[f(B6[b(B[r(B6[b(B2[r(B2)]H4B)])]HBB6[b(B6)]H2H2)])]
104,3.470852348158109,C[l(B6[b(B6)l(B6HB)t(BH6B)]B4H6HH4)f(H4H2)]
105,3.470733512113431,C[f(B2[r(B2[t(B[b(B6B[t(B6[r(B6)])]B)]H4)])]H6H4)]
106,3.4707086450400655,C[r(B6[b(B6[b(B6[b(B)l(B6[r(B2[r(B2[r(B2)]H4B)])]BH)])])])f(H6H4)]
107,3.4705480789786742,C[f(H4B6[l(B2[r(B6[b(B6[t(B2)])]H2)]H2H4B)r(B[l(B)])]H4)]
108,3.470290325649567,C[r(B6[l(B2[t(B)l(B2B2[b(B6BB6)])b(B4[l(BH4H6)])])])]
109,3.470183571529515,C[r(B2[t(B6H4)]H6)f(H4B4B4[l(B6[b(B2)]B2)t(BH4B)]H2H6)]
110,3.4701280098727265,C[l(B6[r(B2)]HBH4BH4H2)f(H6H6H2)]
111,3.4697370271009484,C[l(B6[b(B2HH2)]B[r(B4B)])f(H6BH4HH4B6)]
112,3.4696163197885523,C[l(BH2)f(HB6[t(B[b(B6[b(B4HH6H4)])])]H4H2)]
113,3.469496775654264,C[r(B[b(B)]B6[b(B6[l(B2)]H4)]H)f(H4BH4H2H6)]
114,3.4690874709283035,C[r(BH4BHB[l(B6[b(B2H6)]H6H)])f(H4)]
115,3.468003051018175,C[r(B6[l(B[r(B2[b(B2[r(B6)])]H4HH4)])]H4)f(H4)]
116,3.467733424685078,C[f(B2[r(B2[l(B6H4B[r(BH6H6H6)])])]H4)l(B6B6H4)]
117,3.467079118507372,C[f(H4B2[l(B6[b(B2[b(B4[l(B)])]H6)]B[r(B)]HH4H6)])]
118,3.466776806031723,C[r(B6)f(H4BH6B2[l(B2)b(B2[b(B[l(B6[r(B6[b(B6[t(B6H)]H4)])])])])])]
119,3.466653487509705,C[r(B6[r(B6[b(B2[t(B[t(B4)]H4B)])]H4)]HH6H2)f(H4)]
120,3.466622267372096,C[f(B[r(B2)]H4H6B6[t(BH)b(B[r(B6[b(B6[b(B6H4H6H2)])])])])]
121,3.466585311531813,C[r(B6)f(H4BH4B[b(B6[r(B2[r(B2)])b(B4)]H)]B6H4)]
122,3.46518108162186,C[f(B4[r(B6[b(B2[b(B2H6)]H4H6H)l(BH4)]B6)]B)]
123,3.4644640548052923,C[f(B2[t(B6[l(B[l(B2[b(B6B2[l(B[r(B2)])])]H6H4)]H)])])]
124,3.4643196991327727,C[r(B6[l(B6[b(B2[b(B2[t(B)])t(B4HB2)])l(B6H4)]B2)]H)f(H4)]
125,3.4634850852565267,C[r(B2)f(H4B[l(B2[r(B2H4B)])r(B6[b(B6)]B4)]HH)]
126,3.4631389959698025,C[l(B4B6[b(B2)]H4HH2)r(B4[r(BH6B[lb(B4)]B6)])f(H4)]
127,3.462855672376865,C[l(B[t(B2[l(B[r(B2H4)])]H4B6H)]B6H6)f(H4)]
128,3.4625898118130713,C[f(B2[r(B2[r(B6[r(B6B2)]H6H)t(BH4B2)])]H6H4H2)]
129,3.4623874392142646,C[r(B[r(BH6H6B6[b(B2H4B2)l(B6[l(BH4)])])]H4H2H4)f(H4)]
130,3.4621805545960935,C[r(B6[r(B6)l(B6[b(B2[b(B2[r(B2)])t(BH4B)])]B4)])f(H6H4H)]
131,3.4621331005095266,C[l(B6[b(B2)]B[r(B)t(B6[r(B2H)]H6H6B[r(B6)])]B4)f(H4)]
132,3.462023303394089,C[l(B6[l(B[r(B6B2)]H4H)]BH4B[r(B2[b(B2)])])f(H6)]
133,3.461791994364477,C[f(H6H4BB4[l(B6[b(B2[b(B2[r(B6[t(B2)])])]HH)]B2)])]
134,3.4617835126782186,C[f(BHB[b(B2[r(B2[r(B2[b(B2H4)l(B6[b(B6)])]H)])])])]
135,3.4616066768439957,C[r(B4[b(B2[r(B2[l(B2H6H4B[t(B)]H)])l(BB2)])])f(H4)]
136,3.4612453309315763,C[r(B4[b(B)r(B[r(B2[r(B2B6[l(B6H4)]BB4)])]H)])f(H4)]
137,3.4608840268153944,C[f(B4[t(B[b(B6B2H4H2H6H4H2)]H6)]H4H)]
138,3.4608031168419555,C[f(H4H4H6H2H2B6[b(B2)]B[r(B4[l(B2B)])]B6[b(BH)])]
139,3.4607701473452543,C[l(B[t(B[t(B6[l(B)r(B[b(B2[r(B6[r(B6B[l(B)]H)]H4H6)])])]B4)])])f(H4)]
140,3.4590484676540507,C[f(B2[r(B2[t(B6)]H)])r(B6H2)l(B[r(B4H6H4)]H)]
141,3.458481768498755,C[l(BBH4B[b(B6[b(B2[b(B2[r(B6[b(B2H4)]H4)]H6)])]B)])f(H4)]
142,3.457985311006091,C[l(BH)f(H2B4[r(B2[b(B2)])b(B4H)]HBB6[b(B6)]H4)]
143,3.4574425879515016,C[r(B6[r(B6[b(B4[b(B)l(BH2)t(BHH4H2H6H)])]BH6)])f(H2)]
144,3.457110549712686,C[f(H4B[b(B4B6[r(B6[b(B2)])t(B6[t(BH)]H2H2)]H)]H4B)]
145,3.4570769670164134,C[f(B2[r(B2[t(B)l(B6B6[t(B4HB4[b(B)])]H4H)])]H4)]
146,3.4570717635662778,C[f(H2H6H4H4H4B6[b(B)]B6[b(B6[r(B)t(B2[t(B)]H4)])])]
147,3.45669724778841,C[f(B2[r(B2B4[l(B2[t(B4[b(B[b(B6B)])t(B[t(B)])]H4H4)])]H)]H)]
148,3.4565700191268802,C[l(B[l(B6H4B[b(B6[b(B2[r(B2)])])])])f(H2H6)]
149,3.456560553938223,C[f(H6B2[r(B6[t(B2[r(B[b(B6)])]H4)r(BB4B)]H4)])]
150,3.4563833835395346,C[l(B[r(B6[t(B6[l(B6[b(B6)l(B6H4H)]B2[b(B6)]H4)])])])f(H4H2)]
151,3.455023567640426,C[f(HB[r(B2[b(B2[r(B4)b(B[l(B)])])])b(B6[l(B6B)]H4)]H6)]
152,3.4548590449807355,C[r(B)l(B6[l(B[r(B2[b(B2H6)])b(B6)]H4)]B4)f(H6)]
153,3.4548062299082236,C[r(B4[l(B6[b(B2[b(B4[r(B6[t(B)]H4)])])])t(B[r(BH)]B4)])f(H4)]
154,3.454252499322916,C[l(B6[t(B[t(B6[t(B)l(B2[r(B2[l(B4[l(B4H)]B6)])])])])])f(H6H4)]
155,3.453083131323058,C[l(B6[b(B2[r(B2)b(B2[t(B6[r(B6H6)]BHH4)])]H4)]B)]
156,3.4526783569874553,C[f(H2B6[r(BH4B6[b(B4[l(B2[l(B2)]BHH)r(BH4H6)])])])]
157,3.452282865308539,C[l(B6[b(B6[r(B2[t(B)r(B2)])]BH2)]H)f(H4HBH4)]
158,3.4521954438505777,C[r(B)l(B6[t(B6[b(B)]H4)]BH4B[b(B2)]HH4H4H4)f(H4)]
159,3.451875821394019,C[f(B4[l(B6[l(B[r(B2[b(B2[r(B6H4)]H6)]H4H4H6H)])]B)])]
160,3.451158130272916,C[r(B[t(B[l(B6[r(B6H2)]H6)]B6B2H4H4H4)]H4)f(H4)]
161,3.4510258774924054,C[f(H4B4B6[l(B2[r(B4[l(B2[l(B[r(BH)])])])t(B6[r(B6)]BH6)])]H4)]
162,3.450424229644977,C[r(B)f(B2[r(B6H)t(B[r(B2B6H6)]BH6B2[l(B6[t(B)])])])]
163,3.4501314260113087,C[f(B2[l(B4[b(B)l(B6[t(B)])t(B[t(B2[t(BB6)])])]H6H4)]H6)]
164,3.4492983965184747,C[l(B6[b(B2[b(B4[r(B6[l(B[l(B6H4)])]H4HH6)])])])f(H4)]
165,3.448977782075963,C[r(B6[r(B6H)]H6BH4B2[b(B2[b(BBH4H4)])])]
166,3.4484566226495454,C[r(B6[l(B2)r(B6)t(B[r(B[r(BH6B)])])]H2H4HH)f(H6H2H2)]
167,3.447818277027018,C[l(B6[l(B[t(B2)]H4B2H2)]BB6[b(B2[r(B2[l(B6)])])]H)f(H6)]
168,3.447049699687605,C[l(B)f(H6B4HB[r(B4[t(B6)b(B6[l(B2[r(B6[l(B6H4)])])])])])]
169,3.446897915004147,C[l(B[l(B6[l(B2[r(B2)]B[r(B4H4B2[b(B6)])])]H4)]H)f(H4)]
170,3.4468905962646117,C[r(BB6[l(B6[b(B2[l(B6H4)]H4HB)])]BH2H6)f(H2H4)]
171,3.446338231277733,C[f(H6H4H6H6B[r(B4[r(B)])t(B[t(B6[t(B2)])]H6)]H6B2[r(B2)])]
172,3.4463291556329523,C[l(B[l(B6[t(B[r(B6H6H)]H2H6)]H4)]B2)f(H6)]
173,3.4462093003844743,C[r(B4[b(B[r(B4HB[b(B6[b(B2)]BH)]H2)]B6H6)])f(H4H4)]
174,3.4457330777757305,C[r(B[l(B6)t(B[t(B6[l(B2[r(B2)])t(BB[l(BB6)])]H4H4H)]H)])f(H6)]
175,3.444860453915485,C[f(H4B[l(B2[b(B6[b(B2[r(B)]B6H2)l(BHH4)])]H2)]H6)]
176,3.4444890717217955,C[f(B2[r(B2)])r(B6[t(B4)]B[r(BH4B[b(B6[l(B6)]H4H4)])]B6H)]
177,3.4444107370298633,C[l(B6[l(B4[r(B2[b(B[b(B)r(B4[t(B6[l(B)])]H4)])])])]H4)f(H6)]
178,3.4440075404293644,C[r(B6[l(B6[b(B2[t(B)])]B6[t(B)]H2)t(B[t(B)]BH6)])f(H6H2)]
179,3.4436272046112375,C[f(B2[r(B2)])l(BB[t(B)]H4B[r(B2)b(B6H)])]
180,3.4436034290923594,C[f(H6H4B6[b(B2[r(B4B6)]H4B[r(BH2)])]H6H6)]
181,3.4433953975691582,C[l(BB[r(B6)t(B[t(B2[l(B2[b(B2)])])l(BBB6H6)])]H4B)f(H6H4)]
182,3.443378209498245,C[f(B2[b(B2)r(B6)]H4B[b(B2[r(BB2B6H4H6)]H6H6)])]
183,3.4431997757496196,C[l(B6BH4B2[b(B6[b(B2[b(B2)])]B6H)]BH6)f(H4)]
184,3.44317717112541,C[f(H6B2[l(B[l(BBB6[r(B6B6B6H2)]H4)]B[r(B2H4)]H6)])]
185,3.443175042878833,C[l(B[l(BH4B[b(B6[b(B2[b(B2[r(BH4)])]H6H2)])]H4)])f(H4)]
186,3.442834915426264,C[f(B2[r(B2[r(B6[r(B6H6)]B6B4)t(B[l(B)]HH4H6)])])]
187,3.4425902821547814,C[l(B6[t(BB2H2)l(BHBH4H2)])f(H2B)]
188,3.4418754568972907,C[l(B6[b(BB6[t(B2)l(B4H4H2)]BH6)])f(H4H4H6)]
189,3.441562940693873,C[l(B6[l(B2[r(B2[l(B6)t(BH4)])])]H4H)f(H4B4[t(B6B)r(B[l(B4)])])]
190,3.441463066717966,C[l(B2[l(B6[b(B6B2B4[l(BH6H)]B6H4)]H2)])f(H4H2)]
191,3.4408955880633103,C[r(B6B[r(B4)b(B[lt(B2)r(BH4H6)])]H)f(BH)]
192,3.4408398921989756,C[l(B[r(B4[b(B4H4B)l(B6B6[l(B2B)]H4)])l(B6)]H2H2)]
193,3.440714895004952,C[r(B[b(B2[r(B2)l(B[t(B2[b(B2)]B6B2)]H4H)])])f(H6)]
194,3.4405908343760947,C[l(B6[b(B6H4H4BH4H2)l(B[l(B2)]H2)]BB2)f(H)]
195,3.4404903748195412,C[f(H6H4B[r(B2B4)]B4B6[b(B2[b(B2)])l(B6)]B[l(B)]HH6H6H)]
196,3.440433250340802,C[f(H2H6B2[t(BH)]H4B[b(B6)]B6H4)]
197,3.440048792576641,C[f(B2[r(B2[b(B2[l(B4[b(BH6)])]B6BHH4)t(B4H)]H4)])]
198,3.439968081740899,C[f(H6BH6B6[l(B2[r(B6[b(B2)l(B6H4H)]B6)]HH2)])]
199,3.439705757913697,C[f(H6H4B6[t(B)l(B2[t(B6B[t(B2)])r(B6[t(BH4B6)])]BH2)])]
200,3.43937760070379,C[r(B4[b(B6B2[l(B[b(B[b(B2)]H4H4)]HH6H2)])]H2)f(H6)]
201,3.439128969203197,C[f(B4[r(B6)]B6[l(B6[b(B)r(B2H6)])]H2H4BH4H6)]
202,3.4390368382038288,C[r(B2[r(BH4B[l(B6)b(B6[b(B2[b(B4)])l(BH4H6)]BB2)])])f(H4)]
